X1,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery
118936,US,"With its integrated nose of violet, spice and berry, and its balanced flavors of pepper, mocha and coffee, this wine has an ageable appeal. It's a touch dry, but the tannins are sturdy, the finish long and the overall package impressive. Pair with venison, veal or even cioppino for added value.",Reserve,85,35,New York,Finger Lakes,Finger Lakes,Susan Kostrzewa,@suskostrzewa,Goose Watch 2005 Reserve Cabernet Sauvignon (Finger Lakes),Cabernet Sauvignon,Goose Watch
33804,US,"This bottling reveals that this historic vineyard can produce incredibly rich wine as well as the zestier styles it is known for. It shows black cherry, candied strawberry and bourbon-like spice on the nose. The mouthfeel is lavish, full of purple fruit and floral flavors, as well as peppery spice and vanilla warmth. The acidity and structure are solid, and there's a touch of tar on the finish.",Bien Nacido Vineyard,93,55,California,Santa Maria Valley,Central Coast,Matt Kettmann,@mattkettmann,Nicora 2014 Bien Nacido Vineyard Syrah (Santa Maria Valley),Syrah,Nicora
97896,Italy,"This bright white wine opens with a touch of crushed mint or basil followed by fruity tones of peach, citrus and peach. It's an easy, compact wine that would wash down well with steamed mussels or baked clams.",NA,85,12,Central Italy,Marche,NA,NA,NA,Capestrano 2008 Passerina (Marche),Passerina,Capestrano
102425,Chile,"Lightly herbal, spicy aromas of tobacco, forest floor, juniper and pepper accent core blackberry, cassis and cherry aromas. This Cabernet is tight and mildly tannic, but not fierce or demanding. Ripe blackberry, coffee, mocha and vanilla flavors finish spicy, toasty and oaky. Drink through 2020.",Gran Araucano,92,35,Colchagua Valley,NA,NA,Michael Schachner,@wineschach,François Lurton 2011 Gran Araucano Cabernet Sauvignon (Colchagua Valley),Cabernet Sauvignon,François Lurton
79368,US,"Pungent with strong aromas of stem and herb, the fruit suggests green banana and other minimally-ripe flavors. The wine is a bit disjointed, with stiff tannins and a green edge to the finish.",Winemaker's Selection,85,35,Oregon,Willamette Valley,Willamette Valley,Paul Gregutt,@paulgwine ,Anne Amie 2010 Winemaker's Selection Pinot Noir (Willamette Valley),Pinot Noir,Anne Amie
68020,US,"Made largely of Cabernet Franc, this wine has all the elements of first-rate Meritage: ripe blackberry and blueberry fruit, accompanied by a blast of smoky oak. It tastes good, too, with pure, sweet, supple berry flavors; yet, it's very dry, with ample acidity. It lacks the focus of North Coast claret-style wines, but is certainly among the best of the genre from the South Coast.",Fathom,89,30,California,Santa Barbara County,Central Coast,NA,NA,Babcock 1998 Fathom Red (Santa Barbara County),Bordeaux-style Red Blend,Babcock
86454,Germany,"Zesty limes and lemons brighten aromas of fresh pear on this irresistibly nimble-bodied Riesling. Ripe tangerine and peach flavors are semi-sweet on the palate, but zippy with acidity and a delicate fringe of minerals that lend complexity to the finish.",Piesporter Goldtröpfchen Erste Lage Kabinett,91,25,Mosel,NA,NA,Anna Lee C. Iijima,NA,St. Urbans-Hof 2012 Piesporter Goldtröpfchen Erste Lage Kabinett Riesling (Mosel),Riesling,St. Urbans-Hof
94917,US,"Dark and scented with clove, licorice and bitter herb, this is a hard-edged Cabernet with a soft center of barely-ripe fruit. Some plum and prune notes are here, and the tannins have been softened, but the stemmy, herbal character dominates.",Amphorae,84,28,Oregon,Rogue Valley,Southern Oregon,Paul Gregutt,@paulgwine ,Ancient Cellars 2008 Amphorae Cabernet Sauvignon (Rogue Valley),Cabernet Sauvignon,Ancient Cellars
68573,France,"Definite tannins here, a wine that shows ripe fruits, richness and a solid core. It is not huge, but does have structure, bitter chocolate, sweetness. It's worth aging this wine 3–4 years.",Clos du Marquis,91,40,Bordeaux,Saint-Julien,NA,Roger Voss,@vossroger,Château Léoville Las Cases 2007 Clos du Marquis  (Saint-Julien),Bordeaux-style Red Blend,Château Léoville Las Cases
129805,US,"Hints of honeycomb and beeswax add heft to the notes of fresh green flower and sweet citrus. Ripe yet elegantly composed, this has concentrated fruit flavors that extend onto a long, honeysuckle-kissed finish.",NA,88,16,New York,Finger Lakes,Finger Lakes,Anna Lee C. Iijima,NA,Penguin Bay 2011 Pinot Grigio (Finger Lakes),Pinot Grigio,Penguin Bay
